rank	avi_constraint_percentile	block_id	chrom	start	end	length_bp	avi_top1_fraction	avi_max	avi_top10_mean	avi_top1_count	avi_top1_per_kb	avi_top1_mean	avi_mean	n_scored
1	100.0	chr2_178523930_178693639	chr2	178523930	178693639	169709	0.28012461	61.83944	57.71315	142619	840.37382	25.17184	11.805948	509127
2	99.9974	chr10_60055609_60080213	chr10	60055609	60080213	24604	0.21282447	50.45026	47.6963	15709	638.47342	25.135505	11.201459	73812
3	99.9949	chr19_55612380_55622185	chr19	55612380	55622185	9805	0.20914499	42.79694	39.693867	6152	627.43498	25.586606	9.6192289	29415
4	99.9923	chr1_109246725_109279887	chr1	109246725	109279887	33162	0.2055063	64.67276	55.426159	20445	616.51891	24.888805	10.819908	99486
5	99.9898	chr11_6602203_6646122	chr11	6602203	6646122	43919	0.20478608	66.37624	58.424805	26982	614.35825	25.320114	11.191099	131757
6	99.9872	chr2_66564750_66579471	chr2	66564750	66579471	14721	0.15809614	73.4306	50.10403	6982	474.28843	22.300094	12.420266	44163
7	99.9846	chr16_668514_707891	chr16	668514	707891	39377	0.15586933	61.01265	53.961269	18413	467.60799	25.71741	9.0503371	118131
8	99.9821	chr7_151009102_151026178	chr7	151009102	151026178	17076	0.15450535	58.40633	55.404431	7915	463.51605	25.009381	9.5580337	51228
9	99.9795	chr7_128839928_128887335	chr7	128839928	128887335	47407	0.15136302	58.87835	54.797136	21527	454.08906	25.33261	8.7938665	142221
10	99.977	chr17_7411900_7442983	chr17	7411900	7442983	31083	0.15129385	54.8618	50.243459	14108	453.88154	24.685814	10.517902	93249
11	99.9744	chr12_57147065_57220410	chr12	57147065	57220410	73345	0.15088054	62.67515	58.947046	33199	452.64163	25.894563	8.9267534	220035
12	99.9718	chr14_21521707_21534612	chr14	21521707	21534612	12905	0.14808214	50.25023	45.314133	5733	444.24642	24.81588	10.059315	38715
13	99.9693	chr14_24173816_24200768	chr14	24173816	24200768	26952	0.14617344	58.94934	55.797644	11819	438.52033	25.538356	8.9900153	80856
14	99.9667	chr2_219470339_219516884	chr2	219470339	219516884	46545	0.14560103	62.62975	56.494381	20331	436.80309	24.748775	9.7588163	139635
15	99.9642	chr15_96329983_96347544	chr15	96329983	96347544	17561	0.14384147	64.19428	50.012331	7578	431.5244	23.325943	12.510181	52683
16	99.9616	chr22_32268625_32272540	chr22	32268625	32272540	3915	0.14227331	23.17883	22.545127	1671	426.81992	20.868322	12.299363	11745
17	99.9591	chr14_24402226_24419042	chr14	24402226	24419042	16816	0.14220584	58.46131	49.674128	7174	426.61751	25.222871	9.3482939	50448
18	99.9565	chr12_48986290_49086185	chr12	48986290	49086185	99895	0.14169878	59.07496	57.389989	42465	425.09635	24.818343	9.2956071	299685
19	99.9539	chr1_27353463_27372521	chr1	27353463	27372521	19058	0.14107811	62.4097	54.11317	8066	423.23434	24.957249	9.1544778	57174
20	99.9514	chr14_23041518_23055257	chr14	23041518	23055257	13739	0.1410583	47.81109	45.30168	5814	423.1749	24.731408	8.7993491	41217
21	99.9488	chr2_178693639_178832100	chr2	178693639	178832100	138461	0.13974814	58.68116	57.357246	58049	419.24441	24.880296	8.6054525	415383
22	99.9463	chr19_1248125_1258941	chr19	1248125	1258941	10816	0.13899162	52.45542	46.82825	4510	416.97485	24.284758	9.9765124	32448
23	99.9437	chr14_23387189_23413975	chr14	23387189	23413975	26786	0.13600388	59.85841	56.095279	10929	408.01165	26.006083	8.1597323	80358
24	99.9411	chr3_184288909_184372478	chr3	184288909	184372478	83569	0.13591164	65.99265	61.246432	34074	407.73493	25.548863	9.2323738	250707
25	99.9386	chr17_50548182_50565660	chr17	50548182	50565660	17478	0.13491246	60.56941	53.573328	7074	404.73738	24.491344	9.7395412	52434
26	99.936	chr17_7818503_7922256	chr17	7818503	7922256	103753	0.13381782	62.59378	59.62333	41652	401.45345	25.178722	9.2862351	311259
27	99.9335	chr2_219516884_219562958	chr2	219516884	219562958	46074	0.12987079	66.91057	58.108755	17951	389.61236	24.44569	9.0344735	138222
28	99.9309	chr17_81442163_81459730	chr17	81442163	81459730	17567	0.12931443	59.41229	51.659384	6815	387.9433	24.463213	8.0829764	52701
29	99.9283	chr17_7298362_7341158	chr17	7298362	7341158	42796	0.12871919	59.66711	56.664209	16526	386.15758	25.547304	8.1865802	128388
30	99.9258	chr12_53984669_54052711	chr12	53984669	54052711	68042	0.12850396	59.25176	50.95718	26231	385.51189	22.98143	11.681314	204126
31	99.9232	chr20_62305597_62348462	chr20	62305597	62348462	42865	0.12842646	64.35919	58.786936	16515	385.27937	25.226481	7.4329138	128595
32	99.9207	chr9_81632125_81635690	chr9	81632125	81635690	3565	0.12781674	45.03182	42.686422	1367	383.45021	23.047554	9.8274955	10695
33	99.9181	chr14_24042454_24074664	chr14	24042454	24074664	32210	0.12713443	60.08105	53.805879	12285	381.40329	24.822791	9.0798901	96630
34	99.9155	chr17_48542926_48610390	chr17	48542926	48610390	67464	0.12616111	52.01846	48.845448	25534	378.48334	23.25956	10.762235	202392
35	99.913	chr17_7189231_7269290	chr17	7189231	7269290	80059	0.12597376	61.33881	57.944739	30256	377.92128	25.174526	9.1583166	240177
36	99.9104	chr1_167123540_167130283	chr1	167123540	167130283	6743	0.12561175	45.85977	42.56611	2541	376.83524	24.750853	8.3191032	20229
37	99.9079	chr3_184372478_184395063	chr3	184372478	184395063	22585	0.12551103	68.90128	50.365901	8504	376.5331	24.241844	9.0839525	67755
38	99.9053	chr6_33659300_33678551	chr6	33659300	33678551	19251	0.12529219	63.73414	55.23218	7236	375.87658	26.559278	7.2898148	57753
39	99.9027	chr7_27103537_27165663	chr7	27103537	27165663	62126	0.12499866	55.22448	48.512672	23297	374.99598	23.259349	11.455925	186378
40	99.9002	chr15_34788730_34797859	chr15	34788730	34797859	9129	0.12480374	67.83752	52.900364	3418	374.41122	27.043308	8.7638355	27387
41	99.8976	chr6_32184665_32222613	chr6	32184665	32222613	37948	0.12422262	70.00637	58.213521	14142	372.66786	25.137018	8.6685215	113844
42	99.8951	chr7_27181212_27202740	chr7	27181212	27202740	21528	0.12269293	51.51434	43.571211	7924	368.07878	23.756394	11.134399	64584
