block_id	chrom	start	end	recomb_rate_cm_per_mb
chr1_1583825_1958353	chr1	1583825	1958353	0.925078
chr1_1958353_1993042	chr1	1958353	1993042	5.01005
chr1_1993042_2040432	chr1	1993042	2040432	5.42175
chr1_2040432_2101817	chr1	2040432	2101817	2.74752
chr1_2101817_2288174	chr1	2101817	2288174	0.894641
chr1_2288174_2323195	chr1	2288174	2323195	2.58412
chr1_2323195_2370170	chr1	2323195	2370170	5.51739
chr1_2370170_2393442	chr1	2370170	2393442	4.98132
chr1_2393442_2415085	chr1	2393442	2415085	3.94273
chr1_2415085_2436793	chr1	2415085	2436793	6.9722
chr1_2436793_2472868	chr1	2436793	2472868	3.63092
chr1_2472868_2536231	chr1	2472868	2536231	1.90335
chr1_2536231_2805011	chr1	2536231	2805011	0.148121
chr1_2805011_2836672	chr1	2805011	2836672	1.43208
chr1_2836672_2864428	chr1	2836672	2864428	1.62554
chr1_2864428_2888245	chr1	2864428	2888245	2.79107
chr1_2888245_2919344	chr1	2888245	2919344	1.89624
chr1_2919344_2980520	chr1	2919344	2980520	3.39654
chr1_2980520_3018282	chr1	2980520	3018282	1.53603
chr1_3018282_3081749	chr1	3018282	3081749	0.817903
chr1_3081749_3095810	chr1	3081749	3095810	5.9905
chr1_3095810_3141097	chr1	3095810	3141097	4.34563
chr1_3141097_3145931	chr1	3141097	3145931	8.50907
chr1_3145931_3183071	chr1	3145931	3183071	2.87936
chr1_3183071_3200824	chr1	3183071	3200824	9.70639
chr1_3200824_3233411	chr1	3200824	3233411	2.69326
chr1_3233411_3294894	chr1	3233411	3294894	4.2594
chr1_3294894_3321237	chr1	3294894	3321237	1.28522
chr1_3321237_3356213	chr1	3321237	3356213	7.78568
chr1_3356213_3377658	chr1	3356213	3377658	5.03905
chr1_3377658_3403912	chr1	3377658	3403912	1.71438
chr1_3403912_3416119	chr1	3403912	3416119	7.27268
chr1_3416119_3435977	chr1	3416119	3435977	10.3076
chr1_3435977_3488732	chr1	3435977	3488732	1.95212
chr1_3488732_3542633	chr1	3488732	3542633	1.99317
chr1_3542633_3569559	chr1	3542633	3569559	5.07088
chr1_3569559_3597419	chr1	3569559	3597419	8.03463
chr1_3597419_3658462	chr1	3597419	3658462	3.35102
chr1_3658462_3666645	chr1	3658462	3666645	18.8121
chr1_3666645_3687362	chr1	3666645	3687362	7.29578
chr1_3687362_3716816	chr1	3687362	3716816	4.01736
chr1_3716816_3764165	chr1	3716816	3764165	3.3271
chr1_3764165_3816032	chr1	3764165	3816032	1.02132
chr1_3816032_3867334	chr1	3816032	3867334	2.43763
chr1_3867334_3881836	chr1	3867334	3881836	1.8394
chr1_3881836_3918389	chr1	3881836	3918389	0.868079
chr1_3918389_3942706	chr1	3918389	3942706	4.30686
chr1_3942706_3950282	chr1	3942706	3950282	18.6572
chr1_3950282_3995220	chr1	3950282	3995220	3.66047
chr1_3995220_4046591	chr1	3995220	4046591	3.11036
chr1_4046591_4093147	chr1	4046591	4093147	3.0272
chr1_4093147_4120746	chr1	4093147	4120746	4.29
chr1_4120746_4174752	chr1	4120746	4174752	1.00693
chr1_4174752_4226801	chr1	4174752	4226801	2.23252
chr1_4226801_4236223	chr1	4226801	4236223	5.92134
chr1_4236223_4307920	chr1	4236223	4307920	4.16086
chr1_4307920_4320284	chr1	4307920	4320284	14.9854
chr1_4320284_4359937	chr1	4320284	4359937	2.55498
chr1_4359937_4454029	chr1	4359937	4454029	1.0054
chr1_4454029_4480984	chr1	4454029	4480984	2.91273
chr1_4480984_4509635	chr1	4480984	4509635	2.17832
chr1_4509635_4535091	chr1	4509635	4535091	0.992214
chr1_4535091_4580842	chr1	4535091	4580842	2.76963
chr1_4580842_4614369	chr1	4580842	4614369	2.51403
chr1_4614369_4652381	chr1	4614369	4652381	2.52727
chr1_4652381_4673288	chr1	4652381	4673288	2.44316
chr1_4673288_4691841	chr1	4673288	4691841	7.54362
chr1_4691841_4711993	chr1	4691841	4711993	4.73876
chr1_4711993_4736498	chr1	4711993	4736498	2.89649
chr1_4736498_4755417	chr1	4736498	4755417	1.0236
chr1_4755417_4793850	chr1	4755417	4793850	1.62077
chr1_4793850_4840415	chr1	4793850	4840415	2.08197
chr1_4840415_4881350	chr1	4840415	4881350	1.59075
chr1_4881350_4920299	chr1	4881350	4920299	0.7613
chr1_4920299_4942008	chr1	4920299	4942008	7.75591
chr1_4942008_4959493	chr1	4942008	4959493	4.99567
chr1_4959493_4978033	chr1	4959493	4978033	7.2976
chr1_4978033_5030937	chr1	4978033	5030937	3.35747
chr1_5030937_5076783	chr1	5030937	5076783	2.94615
chr1_5076783_5082492	chr1	5076783	5082492	3.4575
chr1_5082492_5162536	chr1	5082492	5162536	1.76835
chr1_5162536_5200350	chr1	5162536	5200350	1.68223
chr1_5200350_5251254	chr1	5200350	5251254	1.48861
chr1_5251254_5287567	chr1	5251254	5287567	5.84695
chr1_5287567_5297013	chr1	5287567	5297013	5.38187
chr1_5297013_5343525	chr1	5297013	5343525	0.825448
chr1_5343525_5411457	chr1	5343525	5411457	2.93779
chr1_5411457_5479850	chr1	5411457	5479850	4.02086
chr1_5479850_5514835	chr1	5479850	5514835	5.67218
chr1_5514835_5571302	chr1	5514835	5571302	1.96917
chr1_5571302_5599527	chr1	5571302	5599527	9.46492
chr1_5599527_5618723	chr1	5599527	5618723	5.83687
chr1_5618723_5629550	chr1	5618723	5629550	4.30853
chr1_5629550_5649168	chr1	5629550	5649168	4.25371
chr1_5649168_5684903	chr1	5649168	5684903	2.69571
chr1_5684903_5725512	chr1	5684903	5725512	3.88326
chr1_5725512_5745545	chr1	5725512	5745545	4.54276
chr1_5745545_5780200	chr1	5745545	5780200	1.72691
chr1_5780200_5841621	chr1	5780200	5841621	8.88417
chr1_5841621_5854228	chr1	5841621	5854228	8.60378
chr1_5854228_6003595	chr1	5854228	6003595	0.416884
chr1_6003595_6040795	chr1	6003595	6040795	0.648336
chr1_6040795_6084675	chr1	6040795	6084675	7.61667
chr1_6084675_6137354	chr1	6084675	6137354	1.17648
chr1_6137354_6159303	chr1	6137354	6159303	3.56984
chr1_6159303_6198732	chr1	6159303	6198732	2.80378
chr1_6198732_6268780	chr1	6198732	6268780	3.04759
chr1_6268780_6363444	chr1	6268780	6363444	1.34592
chr1_6363444_6441736	chr1	6363444	6441736	0.40778
chr1_6441736_6502103	chr1	6441736	6502103	2.28045
chr1_6502103_6580056	chr1	6502103	6580056	2.3635
chr1_6580056_6734025	chr1	6580056	6734025	0.284757
chr1_6734025_6916308	chr1	6734025	6916308	0.337983
chr1_6916308_6976742	chr1	6916308	6976742	0.436281
chr1_6976742_7046903	chr1	6976742	7046903	0.609609
chr1_7046903_7069445	chr1	7046903	7069445	1.01741
chr1_7069445_7109719	chr1	7069445	7109719	1.84826
chr1_7109719_7187141	chr1	7109719	7187141	1.48898
chr1_7187141_7264899	chr1	7187141	7264899	1.29289
chr1_7264899_7303439	chr1	7264899	7303439	1.90548
chr1_7303439_7351991	chr1	7303439	7351991	0.969212
chr1_7351991_7429435	chr1	7351991	7429435	1.52205
chr1_7429435_7449624	chr1	7429435	7449624	6.06413
chr1_7449624_7477070	chr1	7449624	7477070	5.20557
chr1_7477070_7508211	chr1	7477070	7508211	1.58852
chr1_7508211_7547445	chr1	7508211	7547445	5.94904
chr1_7547445_7556533	chr1	7547445	7556533	11.6544
chr1_7556533_7584742	chr1	7556533	7584742	4.10875
chr1_7584742_7650389	chr1	7584742	7650389	2.80779
chr1_7650389_7661288	chr1	7650389	7661288	4.68206
chr1_7661288_7677591	chr1	7661288	7677591	1.27925
chr1_7677591_7739126	chr1	7677591	7739126	0.578048
chr1_7739126_7850331	chr1	7739126	7850331	0.737377
chr1_7850331_7909447	chr1	7850331	7909447	1.46411
chr1_7909447_8126081	chr1	7909447	8126081	0.223908
chr1_8126081_8139203	chr1	8126081	8139203	4.22986
chr1_8139203_8213791	chr1	8139203	8213791	1.55389
chr1_8213791_8230022	chr1	8213791	8230022	1.41788
chr1_8230022_8290697	chr1	8230022	8290697	1.97394
chr1_8290697_8447516	chr1	8290697	8447516	1.23557
chr1_8447516_8828055	chr1	8447516	8828055	0.115718
chr1_8828055_8891970	chr1	8828055	8891970	0.634684
chr1_8891970_8925891	chr1	8891970	8925891	2.30259
chr1_8925891_8942850	chr1	8925891	8942850	5.8915
chr1_8942850_8985236	chr1	8942850	8985236	5.59999
chr1_8985236_9007994	chr1	8985236	9007994	4.33695
chr1_9007994_9019095	chr1	9007994	9019095	12.2914
chr1_9019095_9073966	chr1	9019095	9073966	0.870091
chr1_9073966_9145120	chr1	9073966	9145120	1.0086
chr1_9145120_9186290	chr1	9145120	9186290	1.4267
chr1_9186290_9222350	chr1	9186290	9222350	0.837159
chr1_9222350_9263398	chr1	9222350	9263398	1.6079
chr1_9263398_9279146	chr1	9263398	9279146	2.43684
chr1_9279146_9306426	chr1	9279146	9306426	6.28475
chr1_9306426_9322745	chr1	9306426	9322745	3.74411
chr1_9322745_9352349	chr1	9322745	9352349	7.09923
chr1_9352349_9371164	chr1	9352349	9371164	5.31835
chr1_9371164_9411592	chr1	9371164	9411592	4.36001
chr1_9411592_9450869	chr1	9411592	9450869	4.56403
chr1_9450869_9473179	chr1	9450869	9473179	1.94649
chr1_9473179_9496002	chr1	9473179	9496002	1.78753
chr1_9496002_9515653	chr1	9496002	9515653	3.07732
chr1_9515653_9631661	chr1	9515653	9631661	1.18701
chr1_9631661_9639319	chr1	9631661	9639319	4.30582
chr1_9639319_9694823	chr1	9639319	9694823	1.75755
chr1_9694823_9838135	chr1	9694823	9838135	1.31166
chr1_9838135_9910413	chr1	9838135	9910413	2.04127
chr1_9910413_10023878	chr1	9910413	10023878	0.662077
chr1_10023878_10175888	chr1	10023878	10175888	0.291907
chr1_10175888_10424113	chr1	10175888	10424113	0.363343
chr1_10424113_10583662	chr1	10424113	10583662	0.635007
chr1_10583662_10629885	chr1	10583662	10629885	1.58126
chr1_10629885_10702147	chr1	10629885	10702147	2.63044
chr1_10702147_10717203	chr1	10702147	10717203	7.15111
chr1_10717203_10743471	chr1	10717203	10743471	3.0928
chr1_10743471_10754383	chr1	10743471	10754383	10.1744
chr1_10754383_10782329	chr1	10754383	10782329	4.23708
chr1_10782329_10799261	chr1	10782329	10799261	4.53795
chr1_10799261_10827148	chr1	10799261	10827148	5.0852
chr1_10827148_10851272	chr1	10827148	10851272	1.35746
chr1_10851272_10874817	chr1	10851272	10874817	4.31811
chr1_10874817_10905343	chr1	10874817	10905343	3.988
chr1_10905343_10933117	chr1	10905343	10933117	7.17086
chr1_10933117_10947998	chr1	10933117	10947998	4.53295
chr1_10947998_10969421	chr1	10947998	10969421	4.57656
chr1_10969421_10994596	chr1	10969421	10994596	2.74277
chr1_10994596_11329978	chr1	10994596	11329978	0.902985
chr1_11329978_11367600	chr1	11329978	11367600	1.1702
chr1_11367600_11430687	chr1	11367600	11430687	1.37542
chr1_11430687_11526939	chr1	11430687	11526939	1.2463
chr1_11526939_11559582	chr1	11526939	11559582	1.19895
chr1_11559582_11592148	chr1	11559582	11592148	1.61648
chr1_11592148_11611007	chr1	11592148	11611007	1.61466
chr1_11611007_11651323	chr1	11611007	11651323	4.24801
chr1_11651323_11667863	chr1	11651323	11667863	5.06512
chr1_11667863_11692083	chr1	11667863	11692083	4.88152
chr1_11692083_11716139	chr1	11692083	11716139	2.7624
chr1_11716139_11736183	chr1	11716139	11736183	5.79437
chr1_11736183_11763099	chr1	11736183	11763099	6.47193
chr1_11763099_11853700	chr1	11763099	11853700	0.8785
chr1_11853700_11878809	chr1	11853700	11878809	2.61074
chr1_11878809_11926564	chr1	11878809	11926564	1.05755
chr1_11926564_12015506	chr1	11926564	12015506	1.81825
