block_id	genes_per_kb	n_genes_tss	avi_top1_fraction	avi_mean	eqtl_variants_per_kb
chr1_10023878_10175888	0.0263141	4	0.020965726	4.8933848	2.1051
chr1_100330740_100565735	0.0255325	6	0.013329362	5.1966765	1.9788
chr1_100565735_100730877	0.030277	5	0.0059706192	4.1182023	2.8642
chr1_100730877_100746700	0.0631991	0	0.030167056	5.0910373	0.5056
chr1_100746700_100805978	0	0	0.0012652249	3.9542882	1.6701
chr1_100805978_101038523	0.0301017	7	0.011470181	4.9170032	1.4363
chr1_101038523_101155370	0.0256746	2	0.0043989148	4.4551931	1.6517
chr1_101155370_101193787	0.0520603	1	0.0052494122	4.1338717	3.0455
chr1_101193787_101218347	0	0	0.0034744843	4.0722911	1.0586
chr1_101218347_101238092	0.101291	2	0.0067021187	4.2279303	0.9623
chr1_101238092_101293193	0.0544455	2	0.022110911	5.1859138	0.7259
chr1_101293193_101383873	0.0110278	1	0.0018489928	4.0890954	1.3233
chr1_101383873_101536804	0.0065389	0	0.00084133803	3.7318772	0.5885
chr1_101536804_101574728	0	0	8.7895088e-05	3.334321	0.3428
chr1_101574728_101638059	0	0	0.00017895396	3.4240808	0.7737
chr1_101638059_101712735	0.0133912	1	0.00046422769	3.2953953	0.0536
chr1_101712735_101746149	0.0598552	1	0.00075816524	3.4049437	1.1971
chr1_101746149_101819487	0.0409065	1	0.0088221659	3.8305927	1.0499
chr1_10175888_10424113	0.0322288	7	0.031989794	5.5038162	3.1786
chr1_101819487_101831838	0.0809651	0	0.024883275	3.8180428	0.8097
chr1_101831838_101841621	0.102218	0	0.012470612	4.1708019	0.2044
chr1_101841621_101897762	0.0712492	3	0.004239326	4.2535665	1.0687
chr1_101897762_101924049	0.0380416	0	0.0024980662	4.4613327	1.864
chr1_101924049_101957588	0.029816	0	0.00057644334	3.5852243	1.6995
chr1_101957588_101984920	0.0731743	1	0.0012561588	3.745011	0.4025
chr1_101984920_102070942	0.0116249	1	0.0020692381	3.1993872	0.4534
chr1_102070942_102130704	0	0	0.00016733041	3.4570484	1.3888
chr1_102130704_102245193	0.00873446	0	0.000238742	2.931954	1.4412
chr1_102245193_102284231	0.0256161	0	3.4154755e-05	2.4838828	0.1537
chr1_102284231_102433268	0.00670974	1	0.00010511931	2.7946605	1.4426
chr1_102433268_102500873	0	0	0.00013805685	2.6749606	0.355
