block_id	avi_rank	avi_top1_fraction	avi_mean	eqtl_variant_count	eqtl_variants_per_kb
chr2_178523930_178693639	1	0.28012461	11.805948	184	1.0842
chr10_60055609_60080213	2	0.21282447	11.201459	0	0.0
chr19_55612380_55622185	3	0.20914499	9.6192289	18	1.8358
chr1_109246725_109279887	4	0.2055063	10.819908	112	3.3774
chr11_6602203_6646122	5	0.20478608	11.191099	94	2.1403
chr2_66564750_66579471	6	0.15809614	12.420266	3	0.2038
chr16_668514_707891	7	0.15586933	9.0503371	115	2.9205
chr7_151009102_151026178	8	0.15450535	9.5580337	33	1.9325
chr7_128839928_128887335	9	0.15136302	8.7938665	178	3.7547
chr17_7411900_7442983	10	0.15129385	10.517902	74	2.3807
chr12_57147065_57220410	11	0.15088054	8.9267534	105	1.4316
chr14_21521707_21534612	12	0.14808214	10.059315	1	0.0775
chr14_24173816_24200768	13	0.14617344	8.9900153	76	2.8198
chr2_219470339_219516884	14	0.14560103	9.7588163	87	1.8692
chr15_96329983_96347544	15	0.14384147	12.510181	1	0.0569
chr22_32268625_32272540	16	0.14227331	12.299363	17	4.3423
chr14_24402226_24419042	17	0.14220584	9.3482939	55	3.2707
chr12_48986290_49086185	18	0.14169878	9.2956071	151	1.5116
chr1_27353463_27372521	19	0.14107811	9.1544778	54	2.8335
chr14_23041518_23055257	20	0.1410583	8.7993491	39	2.8386
chr2_178693639_178832100	21	0.13974814	8.6054525	283	2.0439
chr19_1248125_1258941	22	0.13899162	9.9765124	8	0.7396
chr14_23387189_23413975	23	0.13600388	8.1597323	61	2.2773
chr3_184288909_184372478	24	0.13591164	9.2323738	151	1.8069
chr17_50548182_50565660	25	0.13491246	9.7395412	59	3.3757
chr17_7818503_7922256	26	0.13381782	9.2862351	218	2.1011
chr2_219516884_219562958	27	0.12987079	9.0344735	114	2.4743
chr17_81442163_81459730	28	0.12931443	8.0829764	66	3.757
chr17_7298362_7341158	29	0.12871919	8.1865802	128	2.9909
chr12_53984669_54052711	30	0.12850396	11.681314	104	1.5285
chr20_62305597_62348462	31	0.12842646	7.4329138	189	4.4092
chr9_81632125_81635690	32	0.12781674	9.8274955	0	0.0
chr14_24042454_24074664	33	0.12713443	9.0798901	108	3.353
chr17_48542926_48610390	34	0.12616111	10.762235	154	2.2827
chr17_7189231_7269290	35	0.12597376	9.1583166	148	1.8486
chr1_167123540_167130283	36	0.12561175	8.3191032	8	1.1864
chr3_184372478_184395063	37	0.12551103	9.0839525	44	1.9482
chr6_33659300_33678551	38	0.12529219	7.2898148	66	3.4284
chr7_27103537_27165663	39	0.12499866	11.455925	146	2.3501
chr15_34788730_34797859	40	0.12480374	8.7638355	9	0.9859
chr6_32184665_32222613	41	0.12422262	8.6685215	159	4.1899
chr7_27181212_27202740	42	0.12269293	11.134399	41	1.9045
chr17_7341158_7361007	43	0.12222278	8.2365945	30	1.5114
chr8_143896067_143969375	44	0.12201942	7.7764603	278	3.7922
chr17_1626977_1692087	45	0.11984334	7.4811866	176	2.7031
chr9_35679064_35779428	46	0.11954818	8.7653398	197	1.9629
chr17_40060269_40098436	47	0.11945747	9.6347245	66	1.7292
chr5_141341879_141498338	48	0.11919843	8.1815493	410	2.6205
chr6_33168368_33230483	49	0.11888164	7.9077506	200	3.2198
chr19_7526703_7544259	50	0.11859193	7.416728	42	2.3923
chr6_44228841_44258458	51	0.11726373	7.7475134	94	3.1739
chr2_235034523_235045195	52	0.1160982	6.5642803	0	0.0
chr7_143378868_143396079	53	0.11585614	9.0161978	48	2.7889
chr1_161193247_161218859	54	0.115727	8.5566665	45	1.757
chr1_21817172_21858967	55	0.11510946	7.4607109	96	2.2969
chr17_50161696_50196376	56	0.11484045	8.0210598	87	2.5087
chr6_32145794_32184665	57	0.11460986	8.9239323	113	2.9071
chr2_219199061_219292696	58	0.11391396	8.8297809	206	2.2
chr6_31936529_32107027	59	0.11336203	7.720456	406	2.3813
chr14_21020885_21030913	60	0.11321633	10.066554	25	2.493
chr14_24147569_24173816	61	0.11296529	8.0981135	58	2.2098
chr19_42259242_42388711	62	0.11295111	7.9041033	195	1.5062
chr17_39181928_39189725	63	0.11273567	8.131993	15	1.9238
chr8_144447145_144525122	64	0.1126315	7.9654638	194	2.4879
chr5_151537984_151567405	65	0.112516	7.6003174	40	1.3596
chr7_27165663_27181212	66	0.11199005	10.283666	23	1.4792
chr17_10617383_10657443	67	0.1118905	6.5578622	70	1.7474
chr14_21067255_21121723	68	0.11183325	9.1905597	99	1.8176
chr9_113387829_113394916	69	0.11147171	7.8156057	16	2.2577
chr1_155007875_155056777	70	0.11109293	8.3851192	82	1.6768
chr17_1708139_1756093	71	0.11099526	8.4829076	143	2.982
chr7_128349210_128361523	72	0.1109938	8.875043	31	2.5177
chr11_45892911_45927650	73	0.11095119	8.0855113	66	1.8999
chr9_132985422_132991306	74	0.11075232	6.7732037	11	1.8695
chr10_102392676_102451301	75	0.11043639	8.5716744	95	1.6205
chr17_29562968_29599411	76	0.11025437	9.4732583	61	1.6738
chr6_31603888_31707520	77	0.11020727	7.8095335	353	3.4063
chr14_23055257_23104312	78	0.10989705	9.2274845	142	2.8947
chr8_143786838_143867013	79	0.10931088	7.3773383	198	2.4696
chr19_56621088_56626903	80	0.10914302	6.209276	11	1.8917
chr7_155801600_155814531	81	0.10906607	9.6703329	3	0.232
chr12_6540374_6624723	82	0.10863595	7.9674094	168	1.9917
chr8_22088790_22134128	83	0.10839325	8.6814481	152	3.3526
chr14_23520609_23603356	84	0.10813282	8.5248876	103	1.2448
chr15_93045059_93048663	85	0.10812061	6.1738634	0	0.0
chr9_137142184_137245652	86	0.10773379	7.3943609	224	2.1649
chr3_9709524_9748794	87	0.10761395	8.1054863	68	1.7316
chr6_106083391_106114033	88	0.10722755	10.095542	3	0.0979
chr1_43945917_44021596	89	0.10717196	9.1050491	163	2.1538
chr11_117428557_117444334	90	0.10652638	6.5664383	13	0.824
chr17_7442983_7509719	91	0.10619955	8.187818	242	3.6262
chr16_88703001_88748968	92	0.10605434	6.9530154	334	7.2661
chr16_2070401_2156590	93	0.1055007	7.3809123	253	2.9354
chr19_49125608_49161293	94	0.10528233	7.6814465	103	2.8864
chr12_55716492_55732585	95	0.10476605	9.066738	33	2.0506
chr14_24256689_24334882	96	0.10468542	8.3120469	241	3.0821
chr11_64716177_64819712	97	0.10438338	8.1002709	181	1.7482
chr19_1050131_1076026	98	0.10403553	7.0270875	113	4.3638
chr19_49636811_49683022	99	0.10387137	7.52498	60	1.2984
chr16_72945504_72970638	100	0.10383014	7.8262029	44	1.7506
chr7_151195473_151252440	101	0.10328787	7.5060132	146	2.5629
chr2_163583500_163617371	102	0.1028707	9.6410787	27	0.7971
chr2_26455239_26495076	103	0.10264327	7.1843719	105	2.6357
chr16_1947613_1978401	104	0.10263739	6.8327595	210	6.8208
chr12_52805078_52815350	105	0.10199247	7.4166958	26	2.5312
chr2_219435649_219470339	106	0.10186413	8.5886852	38	1.0954
chr19_54449996_54475712	107	0.10185617	6.9864437	105	4.0831
chr17_4527663_4552908	108	0.10178913	7.5125242	62	2.4559
chr10_129942928_129960038	109	0.10155854	10.365427	3	0.1753
chr13_23311144_23395536	110	0.10134847	6.9423108	226	2.678
chr1_10629885_10702147	111	0.10121502	8.6396332	143	1.9789
chr16_2156590_2245074	112	0.10111433	7.4737487	201	2.2716
chr2_218395121_218404080	113	0.099899542	8.468978	28	3.1253
chr19_10103913_10123934	114	0.099711969	7.0413595	69	3.4464
chr22_19759559_19773105	115	0.098749938	7.8764135	25	1.8456
chr14_24074664_24147569	116	0.097821366	8.3529588	119	1.6323
chr19_1437186_1475392	117	0.097785688	6.7307934	95	2.4865
chr1_159913686_159943258	118	0.097693764	8.3328123	72	2.4347
chr7_151069712_151132134	119	0.097556417	7.7474964	164	2.6273
chr8_144350943_144447145	120	0.097451196	6.8959647	277	2.8794
chr17_47803382_47853174	121	0.097177592	7.7896674	187	3.7556
chr11_61762358_61771548	122	0.097170838	7.8449825	19	2.0675
chr7_151026178_151069712	123	0.096560543	7.6816639	123	2.8254
chr2_176062438_176113673	124	0.096190755	9.178351	89	1.7371
chr3_62367645_62386263	125	0.095839152	8.3526197	0	0.0
chr2_144373760_144464070	126	0.09519064	10.125667	50	0.5536
chr11_786234_827993	127	0.095061344	7.3128838	153	3.6639
chr12_56228477_56360038	128	0.094815333	8.062455	212	1.6114
chr15_40257672_40311485	129	0.094698307	8.3321231	138	2.5644
chr12_57476372_57610139	130	0.09451509	8.1031258	218	1.6297
chr19_49794860_49897842	131	0.094039088	6.919679	262	2.5441
chr12_6826466_6956472	132	0.094016174	7.7968227	352	2.7076
chr16_2713244_2776597	133	0.093976081	6.6622694	118	1.8626
chr19_1093669_1115783	134	0.093726448	6.797884	117	5.2908
chr8_8879954_8900548	135	0.093651873	7.1577277	67	3.2534
chr8_22688278_22711344	136	0.093528715	8.2769099	15	0.6503
chr12_56098096_56228477	137	0.093523341	7.8392877	233	1.7871
chr4_80070122_80072464	138	0.093509821	11.125464	4	1.7079
chr19_48433902_48500494	139	0.093454669	6.9795504	183	2.7481
chr22_20968216_20988220	140	0.093381324	7.0424245	71	3.5493
chr16_638557_668514	141	0.093267016	7.2152576	104	3.4716
chr11_65597847_65725778	142	0.093151777	6.8284173	333	2.603
chr14_101949394_102065187	143	0.093077014	5.8424441	230	1.9863
chr17_4910822_5032883	144	0.092811518	7.5511231	373	3.0558
chr17_78484296_78492202	145	0.092798718	5.8740226	28	3.5416
chr1_34903159_34913978	146	0.092768894	8.8838868	4	0.3697
chr19_6722011_6745127	147	0.09227375	7.6579544	68	2.9417
chr17_78115987_78132581	148	0.09196095	7.3392837	53	3.1939
chr19_40574908_40640518	149	0.091937205	7.3292483	194	2.9569
chr17_44078470_44114525	150	0.091924375	7.79566	62	1.7196
chr11_6531062_6551738	151	0.091797253	7.7513885	29	1.4026
chr11_64339478_64386086	152	0.09156511	7.0857886	148	3.1754
chr11_118441154_118532247	153	0.091441347	7.6394392	89	0.977
chr17_2021633_2105644	154	0.091281697	8.5559833	206	2.4521
chr11_119308942_119344455	155	0.091234196	7.7424816	63	1.774
chr17_41500927_41512819	156	0.091041597	7.4070315	18	1.5136
chr5_141830795_141867070	157	0.090833908	8.8819961	46	1.2681
chr19_51712617_51725794	158	0.090738914	5.8561922	43	3.2633
chr1_3403912_3416119	159	0.090685672	5.522619	28	2.2938
chr17_78492202_78504290	160	0.090668432	5.4219774	40	3.3091
chr19_7598431_7668027	161	0.090613445	6.5175083	202	2.9025
chr16_3013148_3056358	162	0.090542313	7.3127544	139	3.2168
chr19_38455211_38497672	163	0.090357426	6.1040426	144	3.3913
chr15_36885486_36911898	164	0.090034833	10.338435	7	0.265
chr17_7385114_7411900	165	0.090009707	8.3399903	85	3.1733
chr15_90901110_90956583	166	0.089923627	6.8494841	208	3.7496
chr11_2409290_2424912	167	0.089873256	6.3057438	23	1.4723
chr17_7784864_7818503	168	0.089846111	6.3279137	62	1.8431
chr17_79943122_79952494	169	0.089806516	7.3718278	13	1.3871
chr17_50565660_50609337	170	0.089719227	8.1025733	109	2.4956
chr17_50515342_50548182	171	0.089514819	7.9980236	128	3.8977
chr7_94392234_94429924	172	0.089510922	8.5516824	40	1.0613
chr19_1002190_1050131	173	0.089415462	6.6216093	353	7.3632
chr12_48759242_48796041	174	0.089323079	7.8829625	67	1.8207
chr2_219562958_219589342	175	0.089094401	7.1718731	49	1.8572
chr12_47981692_48009982	176	0.088912454	7.5968022	124	4.3832
chr1_156845318_156867624	177	0.088884904	7.6096291	17	0.7621
chr8_122942478_122956965	178	0.088700214	6.5318017	5	0.3451
chr2_74449014_74513067	179	0.088624524	7.6514263	74	1.1553
chr16_30900629_30999862	180	0.088387935	7.2842886	139	1.4007
chr19_50652065_50690186	181	0.088157883	6.7097044	48	1.2591
chr1_7661288_7677591	182	0.08802061	6.1226809	41	2.5149
chr6_7573350_7626897	183	0.087773358	6.6208913	143	2.6706
chr19_55459618_55503257	184	0.08757457	6.8796965	163	3.7352
chr11_77172804_77210681	185	0.08750253	6.5379285	150	3.9602
chr19_12661449_12793586	186	0.087444597	6.9823237	315	2.3839
chr6_31707520_31872848	187	0.087355641	7.038794	478	2.8912
chr19_39393348_39418338	188	0.087341603	7.3931388	49	1.9608
chr17_2687304_2730030	189	0.087339481	7.1557203	95	2.2235
chr19_35519906_35557839	190	0.087338202	6.9545735	129	3.4007
chr21_26837076_26857883	191	0.0872623	6.772849	29	1.3938
chr2_215370815_215392258	192	0.087176856	7.1916537	49	2.2851
chr8_22134128_22158340	193	0.087174404	7.4160608	50	2.0651
chr17_80318825_80353558	194	0.087054578	5.8226522	82	2.3609
chr11_124868471_124919859	195	0.087030695	7.0983274	160	3.1136
chr16_79598568_79612827	196	0.087009374	8.2659985	26	1.8234
chr1_228277645_228385828	197	0.08664023	6.2043475	303	2.8008
chr10_129832239_129865232	198	0.086472888	8.5091015	8	0.2425
chr17_7269290_7298362	199	0.086371767	7.4644127	57	1.9606
chr11_72678939_72713471	200	0.086200239	7.5556887	101	2.9248
chr17_4791884_4819403	201	0.086134428	6.6350066	66	2.3983
chr3_50139306_50385287	202	0.086045941	7.8899294	477	1.9392
chr11_125075189_125087569	203	0.085998923	7.1121543	54	4.3619
chr22_50171475_50227431	204	0.085811471	6.6612546	228	4.0746
chr19_17824479_17838052	205	0.085709374	6.4308719	28	2.0629
chr12_7131485_7154185	206	0.085447871	7.0456168	48	2.1145
chr11_118876867_118941803	207	0.085443103	8.1026336	137	2.1098
chr19_38365351_38409438	208	0.085074209	7.3274689	161	3.6519
chr16_51115297_51158242	209	0.085070051	7.9804448	28	0.652
chr14_24419042_24435034	210	0.084875771	8.1643336	55	3.4392
chr19_35650084_35804473	211	0.084848446	7.0904911	496	3.2127
chr17_74340085_74369940	212	0.084698264	6.6140359	59	1.9762
chr7_100841905_100928670	213	0.084484911	7.0843321	273	3.1464
chr5_124625564_124648222	214	0.084105687	7.2523434	22	0.971
chr1_40816897_40832838	215	0.08399724	8.4217933	42	2.6347
chr1_213972363_214014370	216	0.083993938	8.4328759	49	1.1665
chr2_176113673_176210324	217	0.083944639	9.3481823	213	2.2038
chr15_88840969_88873619	218	0.083930577	6.4246472	38	1.1639
chr6_31872848_31936529	219	0.083703669	6.9592339	212	3.3291
chr14_23337136_23387189	220	0.083211795	7.5060238	143	2.857
chr1_6441736_6502103	221	0.083025494	7.2208317	153	2.5345
chr6_10383062_10424033	222	0.082969255	9.5130694	42	1.0251
chr1_90103803_90107947	223	0.082931145	10.875197	0	0.0
chr6_152305554_152331902	224	0.082903193	6.4543292	12	0.4554
chr16_49624613_49657426	225	0.082893975	6.3874962	54	1.6457
chr19_7552174_7570522	226	0.082879151	5.4939666	126	6.8672
chr17_50609337_50635862	227	0.082475652	8.5537154	54	2.0358
chr3_184566087_184600676	228	0.082290131	7.7294204	58	1.6768
chr19_1076026_1093669	229	0.082280036	6.456751	82	4.6477
chr11_66210982_66295818	230	0.082268534	7.0142164	158	1.8624
chr17_8105246_8131310	231	0.082207899	6.9654394	80	3.0694
chr10_129885837_129896468	232	0.082118333	9.4149389	0	0.0
chr12_53200654_53334585	233	0.082106956	7.4902133	331	2.4714
chr11_62458303_62680091	234	0.081950632	7.367663	358	1.6142
chr16_1978401_2014899	235	0.081922297	7.2415609	178	4.877
chr11_65489858_65597847	236	0.08140644	7.3125007	202	1.8706
chr1_27513318_27644093	237	0.081394252	8.5837214	192	1.4682
chr11_6374403_6413087	238	0.081325613	7.4054678	99	2.5592
chr19_45881296_45906958	239	0.081287507	6.9855886	97	3.7799
chr9_1045596_1057797	240	0.081277491	7.7767313	45	3.6882
chr1_19064683_19238844	241	0.081057183	6.6481224	407	2.3369
chr6_7555287_7573350	242	0.080938936	6.1861284	35	1.9377
chr12_121770586_121842843	243	0.080933335	7.2281798	170	2.3527
chr6_56559239_56658632	244	0.080743446	7.1044761	177	1.7808
chr17_63465817_63498888	245	0.080614436	6.952243	73	2.2074
chr19_49102273_49125608	246	0.08049425	7.353176	64	2.7427
chr19_54133057_54184080	247	0.080270989	6.4166986	146	2.8615
chr1_203034513_203050522	248	0.080163242	7.4550351	33	2.0613
chr1_16040454_16052154	249	0.08011396	6.4443326	119	10.1709
chr7_70773823_70795789	250	0.079911378	7.3317866	1	0.0455
chr10_71774434_71827455	251	0.079817431	6.8872969	164	3.0931
chr11_119091520_119166683	252	0.07971564	7.3106803	183	2.4347
chr11_18692364_18725633	253	0.079693809	7.7758067	96	2.8856
chr8_22205618_22228978	254	0.079623288	7.7378194	48	2.0548
chr3_184134242_184219685	255	0.079585221	7.0862465	206	2.411
chr1_110592321_110613072	256	0.079562431	8.5007193	54	2.6023
chr4_186570030_186643337	257	0.079487634	5.835976	43	0.5866
chr18_2889825_2899326	258	0.079395151	7.5719822	4	0.421
chr14_64758095_64795707	259	0.079362969	7.1308422	88	2.3397
chr6_33230483_33344678	260	0.079192025	6.5323159	326	2.8548
chr9_2157934_2169751	261	0.079179713	8.3352172	0	0.0
chr11_119029628_119091520	262	0.079175553	6.4833337	185	2.9891
chr6_30643573_30749481	263	0.07900253	7.2233523	468	4.4189
chr9_130375376_130396507	264	0.078951935	5.8769731	5	0.2366
chr9_104784934_104819026	265	0.078855254	6.925925	41	1.2026
chr6_43133932_43220028	266	0.078838351	6.9717831	201	2.3346
chr17_10304445_10322387	267	0.078828076	5.9748348	32	1.7835
chr22_36271022_36318590	268	0.078806481	5.7993231	91	1.9131
chr15_65367620_65401218	269	0.078734845	7.3339781	29	0.8631
chr6_32830099_32836776	270	0.078628126	5.9229114	49	7.3386
chr11_47222114_47349406	271	0.078475736	6.9755313	346	2.7182
chr19_50302428_50324443	272	0.078446514	6.6097829	40	1.8169
chr19_33183115_33217163	273	0.078369753	6.3521276	96	2.8195
chr1_156644035_156675791	274	0.078273922	7.6171346	57	1.7949
chr9_136426513_136529556	275	0.078116256	5.8146059	368	3.5713
chr1_245678674_245697116	276	0.078082637	6.1272058	0	0.0
chr5_150052476_150064584	277	0.078020042	6.936	54	4.4599
chr1_209609200_209634093	278	0.077933556	7.2041376	48	1.9283
chr2_27324380_27518370	279	0.077926697	7.1230354	284	1.464
chr17_82034541_82076205	280	0.077836982	5.8567603	143	3.4322
chr17_45110749_45130491	281	0.077786783	7.1950122	59	2.9886
chr10_69376655_69386138	282	0.077718022	7.2521076	32	3.3745
chr19_6708809_6722011	283	0.077564005	6.2697914	18	1.3634
chr17_63918780_63945768	284	0.077441826	6.597887	96	3.5571
chr17_7509719_7656976	285	0.077411147	6.874588	503	3.4158
chr19_1475392_1489771	286	0.07731182	6.1483473	48	3.3382
chr6_44258458_44321509	287	0.077038165	7.3388744	179	2.839
chr12_70555468_70564747	288	0.076947947	6.7350133	38	4.0953
chr4_182771669_182794072	289	0.076909342	6.4116291	8	0.3571
chr16_84172085_84200523	290	0.0768807	6.6178314	198	6.9625
chr2_232481317_232503632	291	0.076809321	6.436648	42	1.8821
chr1_112711604_112726198	292	0.076721027	7.3238457	37	2.5353
chr5_177486787_177563150	293	0.076568495	7.8704098	145	1.8988
chr12_130159610_130175406	294	0.076517262	5.836667	21	1.3295
chr20_45851687_45903616	295	0.076431281	7.020435	175	3.37
chr19_11172840_11247764	296	0.076428559	6.1192142	253	3.3768
chr22_20988220_21022574	297	0.076400613	6.5911337	161	4.6865
chr4_113322598_113386266	298	0.076364893	6.7739451	1	0.0157
chr15_40438608_40469350	299	0.076204107	8.509575	33	1.0735
chr11_17379503_17404303	300	0.076102151	7.0965351	112	4.5161
chr11_119344455_119369746	301	0.075995413	7.8754964	75	2.9655
chr2_74868901_74883144	302	0.075943738	6.7786914	32	2.2467
chr1_113880403_113908685	303	0.075890437	7.4729264	52	1.8386
chr19_10305105_10334150	304	0.075836346	6.5999131	109	3.7528
chr7_150973904_151009102	305	0.07576188	7.0626784	80	2.2729
