block_id	chrom	start	end	length_bp	n_positions	n_variant_alleles	n_scored	n_missing_avi	avi_max	avi_top10_mean	avi_top1_count	avi_top1_fraction	avi_top1_per_kb	avi_top1_mean	avi_mean
chr1_1583825_1958353	chr1	1583825	1958353	374528	374528	1123584	1123584	0	61.46815	56.412368	36368	0.032367851	97.103554	25.23724	4.7313711
chr1_1958353_1993042	chr1	1958353	1993042	34689	34689	104067	104067	0	48.10035	43.481696	1860	0.017873101	53.619303	24.903236	4.0843023
chr1_1993042_2040432	chr1	1993042	2040432	47390	47390	142170	142170	0	65.77764	54.892463	3461	0.024344095	73.032285	25.179422	3.756442
chr1_2040432_2101817	chr1	2040432	2101817	61385	61385	184155	184155	0	57.96826	50.431309	1529	0.0083027884	24.908365	23.738662	3.7227735
chr1_2101817_2288174	chr1	2101817	2288174	186357	186357	559071	559071	0	57.19681	51.425132	8791	0.0157243	47.172899	24.830624	4.3317063
chr1_2288174_2323195	chr1	2288174	2323195	35021	35021	105063	105063	0	58.96872	49.318176	3007	0.028620923	85.862768	24.205408	5.1673831
chr1_2323195_2370170	chr1	2323195	2370170	46975	46975	140925	140925	0	50.54531	40.701714	830	0.0058896576	17.668973	23.998772	3.9468793
chr1_2370170_2393442	chr1	2370170	2393442	23272	23272	69816	69816	0	54.09256	48.597081	1909	0.027343302	82.029907	24.73858	4.9043541
chr1_2393442_2415085	chr1	2393442	2415085	21643	21643	64929	64929	0	56.94578	49.182481	2945	0.045357236	136.07171	25.572803	5.5345636
chr1_2415085_2436793	chr1	2415085	2436793	21708	21708	65124	65124	0	47.43354	41.042442	518	0.0079540569	23.862171	23.030505	3.5412921
chr1_2436793_2472868	chr1	2436793	2472868	36075	36075	108225	108225	0	40.41179	33.831363	839	0.0077523678	23.257103	22.184888	4.0437689
chr1_2472868_2536231	chr1	2472868	2536231	63363	63363	190089	190089	0	61.44404	53.503729	14240	0.074912278	224.73683	25.189521	5.9676302
chr1_2536231_2805011	chr1	2536231	2805011	268780	225271	675813	675813	0	77.66226	52.382941	10297	0.015236463	38.310142	24.485652	3.2465789
chr1_2805011_2836672	chr1	2805011	2836672	31661	31661	94983	94983	0	24.34039	24.267324	275	0.0028952549	8.6857648	21.255058	2.665902
chr1_2836672_2864428	chr1	2836672	2864428	27756	27756	83268	83268	0	23.79013	23.359312	318	0.0038189941	11.456982	21.310073	2.6394706
chr1_2864428_2888245	chr1	2864428	2888245	23817	23817	71451	71451	0	23.84001	23.806659	516	0.0072217324	21.665197	21.294813	2.8105069
chr1_2888245_2919344	chr1	2888245	2919344	31099	31099	93297	93297	0	24.04788	23.143307	334	0.0035799651	10.739895	21.169448	2.4957782
chr1_2919344_2980520	chr1	2919344	2980520	61176	61176	183528	183528	0	25.01204	24.573456	897	0.0048875376	14.662613	21.361758	2.7788177
chr1_2980520_3018282	chr1	2980520	3018282	37762	37762	113286	113286	0	25.32561	24.844598	478	0.0042194093	12.658228	21.42032	2.7664474
chr1_3018282_3081749	chr1	3018282	3081749	63467	63467	190401	190401	0	43.16001	40.13422	2914	0.015304541	45.913624	22.776659	3.6954194
chr1_3081749_3095810	chr1	3081749	3095810	14061	14061	42183	42183	0	24.33453	23.571893	163	0.0038641159	11.592348	21.401871	3.0552825
chr1_3095810_3141097	chr1	3095810	3141097	45287	45287	135861	135861	0	25.52815	24.969061	1791	0.013182591	39.547773	21.364113	4.1832356
chr1_3141097_3145931	chr1	3141097	3145931	4834	4834	14502	14502	0	22.4463	22.27803	216	0.014894497	44.683492	21.148794	4.5773253
chr1_3145931_3183071	chr1	3145931	3183071	37140	37140	111420	111420	0	25.06055	24.496835	1031	0.0092532759	27.759828	21.424752	3.5296092
chr1_3183071_3200824	chr1	3183071	3200824	17753	17753	53259	53259	0	55.55776	41.533248	1300	0.02440902	73.22706	23.164525	4.4094256
chr1_3200824_3233411	chr1	3200824	3233411	32587	32587	97761	97761	0	27.76206	25.351637	1338	0.013686439	41.059318	21.436576	4.1846368
chr1_3233411_3294894	chr1	3233411	3294894	61483	61483	184449	184449	0	41.94396	37.630081	2439	0.013223167	39.669502	21.531448	4.0718386
chr1_3294894_3321237	chr1	3294894	3321237	26343	26343	79029	79029	0	28.97762	25.787622	866	0.010958003	32.874008	21.599758	3.9263471
chr1_3321237_3356213	chr1	3321237	3356213	34976	34976	104928	104928	0	29.56862	26.218438	959	0.0091396005	27.418801	21.711997	3.8170952
chr1_3356213_3377658	chr1	3356213	3377658	21445	21445	64335	64335	0	31.42659	25.214271	370	0.0057511463	17.253439	21.482263	3.8449431
chr1_3377658_3403912	chr1	3377658	3403912	26254	26254	78762	78762	0	49.61855	42.017194	898	0.011401437	34.204312	24.012866	3.6782234
chr1_3403912_3416119	chr1	3403912	3416119	12207	12207	36621	36621	0	51.9411	43.165278	3321	0.090685672	272.05702	25.219997	5.522619
